Tabulate laguerre
0
0,0707070707070707
0,1414141414141414
0,2121212121212121
0,2828282828282828
0,35353535353535354
0,4242424242424242
0,4949494949494949
0,5656565656565656
0,6363636363636364
0,7070707070707071
0,7777777777777778
0,8484848484848484
0,9191919191919191
0,9898989898989898
1,0606060606060606
1,1313131313131313
1,202020202020202
1,2727272727272727
1,3434343434343434
1,4141414141414141
1,4848484848484849
1,5555555555555556
1,6262626262626263
1,6969696969696968
1,7676767676767675
1,8383838383838382
1,909090909090909
1,9797979797979797
2,0505050505050506
2,121212121212121
2,191919191919192
2,2626262626262625
2,333333333333333
2,404040404040404
2,4747474747474745
2,5454545454545454
2,616161616161616
2,686868686868687
2,7575757575757573
2,8282828282828283
2,898989898989899
2,9696969696969697
3,04040404040404
3,111111111111111
3,1818181818181817
3,2525252525252526
3,323232323232323
3,3939393939393936
3,4646464646464645
3,535353535353535
3,606060606060606
3,6767676767676765
3,7474747474747474
3,818181818181818
3,888888888888889
3,9595959595959593
4,03030303030303
4,101010101010101
4,171717171717171
4,242424242424242
4,313131313131313
4,383838383838384
4,454545454545454
4,525252525252525
4,595959595959596
4,666666666666666
4,737373737373737
4,808080808080808
4,878787878787879
4,949494949494949
5,02020202020202
5,090909090909091
5,161616161616162
5,232323232323232
5,303030303030303
5,373737373737374
5,444444444444445
5,515151515151515
5,585858585858586
5,656565656565657
5,727272727272727
5,797979797979798
5,8686868686868685
5,9393939393939394
6,0101010101010095
6,08080808080808
6,151515151515151
6,222222222222222
6,292929292929292
6,363636363636363
6,434343434343434
6,505050505050505
6,575757575757575
6,646464646464646
6,717171717171717
6,787878787878787
6,858585858585858
6,929292929292929
7


2
-0,09423721440720567
-0,8841942972432119
-0,9003595412115952
-0,5194448322442686
0,0013815464927833254
0,49650306459731897
0,8691237677203112
1,0729550521540183
1,0975975374362488
0,956999485393205
0,6804638308123799
0,3057544880199139
-0,1260793451478266
-0,5744833438128891
-1,0020543930843024
-1,376301152420474
-1,6706993865279864
-1,8652004682118632
-1,9463240012377407
-1,9069421169529146
-1,7458431281784577
-1,4671454046968027
-1,0796181518426782
-0,5959538641939435
-0,03202727268936534
0,5938326715304871
1,261538071349543
1,949890522307535
2,637173189847132
3,3016806822338887
3,9221838114039955
4,478328640264546
4,950970994685885
5,322448959653694
5,576796857361746
5,69990488509086
5,679629027704442
5,505856100404576
5,170528861773408
4,667636098598916
3,993172450707693
3,1450725395220065
2,1231237078594507
0,9288613867129207
-0,4345492094295551
-1,9624416830577758
-3,6487843032832235
-5,486320383471641
-7,466710782271756
-9,5806764272192
-11,818139048140416
-14,168358577876024
-16,620065929087446
-19,161590087394647
-21,780978672588823
-24,46611131131938
-27,20480533692253
-29,984913485614683
-32,79441339397114
-35,62148882141964
-38,454602624455404
-41,28256159753627
-44,094573370265664
-46,88029561265045
-49,629877851035936
-52,33399623785706
-54,983881649636665
-57,57134151070559
-60,08877575584944
-62,529187354383694
-64,88618782184398
-67,15399814431157
-69,32744553507533
-71,40195643450491
-73,37354615225497
-75,23880553677188
-76,99488504100535
-78,63947653566596
-80,1707932026942
-81,58754782215743
-82,88892974585748
-84,07458083077563
-85,14457058532463
-86,09937076140866
-86,93982960567692
-87,66714596422588
-88,28284341647455
-88,78874459609474
-89,18694583979575
-89,47979228849366
-89,66985354997996
-89,7599000176661
-89,75287992633622
-89,65189721309324
-89,46019023982583
-89,18111142255209
-88,81810780288166
-88,37470258756582
-87,85447767364641
